,listing_id,5_stars,availability_365,borough,host_id,host_name,is_rated,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,number_of_stays,reviews_per_month,room_type,price,rating,listing_added
0,3831,0.7573657865679931,194,Brooklyn,4869,LisaRoxanne,1,2019-07-05,40.68514,-73.95976,Cozy Entire Floor of Brownstone, Clinton Hill,270,324.0,4.64,entire place,89.0,3.2739354028569787,2018-12-30
1,6848,0.7897427077554477,46,Brooklyn,15991,Allen & Irina,1,2019-06-29,40.70837,-73.95352,Only 2 stops to Manhattan studio, Williamsburg,148,177.6,1.2,entire place,140.0,3.4957595810256405,2018-12-24
2,7322,0.6698725882352369,12,Manhattan,18946,Doti,1,2019-07-01,40.74192,-73.99501,Chelsea Perfect, Chelsea,260,312.0,2.12,Private Room,140.0,4.3890506173017565,2018-12-26
3,7726,0.6402508102467211,21,Brooklyn,20950,Adam And Charity,1,2019-06-22,40.67592,-73.94694,Hip Historic Brownstone Apartment with Backyard, Crown Heights,53,63.6,4.44,entire place,99.0,3.3053824683089426,2018-12-17
4,12303,0.9185926404702348,311,Brooklyn,47618,Yolande,1,2018-09-30,40.69673,-73.97584,1bdr w private bath. in lofty apt, Fort Greene,25,30.0,0.23,Private Room,120.0,4.568744654108088,2018-03-27
5,12627,0.7012203688314269,95,Brooklyn,49670,Rana,1,2019-06-05,40.65944,-73.96238000000002,Entire apartment in central Brooklyn neighborhood., Prospect-Lefferts Gardens,11,13.2,0.49,entire place,150.0,3.7593278299793575,2018-11-30
6,13394,0.625557908711271,192,Brooklyn,52335,Alexander,1,2019-06-17,40.69142,-73.97376,Fort Greene brownstone , Fort Greene,135,162.0,1.16,Private Room,80.0,4.050713992961011,2018-12-12
7,14322,0.9110310590510766,257,Manhattan,56284,Francesca,1,2019-03-25,40.73961,-73.98074,Beautiful Apartment in Manhattan!!!, Kips Bay,19,22.8,0.22,entire place,200.0,4.8241590157441125,2018-09-19
8,15338,0.8964005013799463,320,Brooklyn,32169,Andrea,1,2019-06-04,40.72401,-73.93788,Room in Greenpoint Loft w/ Roof, Greenpoint,138,165.6,1.19,Private Room,49.0,4.922277109991008,2018-11-29
9,15711,0.7197957607814761,231,Manhattan,61491,D,1,2019-03-30,40.77065,-73.95269,2 bedroom - Upper East Side-great for kids, Upper East Side,66,79.2,0.57,entire place,250.0,3.483934739999956,2018-09-24
